date,description,amount,balance,row_id
2024-02-20,UPI CR CLIENT PAYMENT INV3FE7EF,24606.0,231673.0,27
2024-02-22,UPI DR PHONEPE TRANSFER,-4875.0,226798.0,28
2024-02-23,POS DR DMART HYPERMARKET,-5490.0,221308.0,29
2024-02-23,UTILITY BILL PAYMENT MSEDCL,-6249.0,215059.0,30
2024-02-23,ATM WITHDRAWAL HDFC BANK,-6832.0,208227.0,31
2024-02-23,UPI CR CLIENT PAYMENT INV98CB39,35267.0,243494.0,32
2024-02-24,POS DR DMART HYPERMARKET,-875.0,242619.0,33
2024-02-25,ATM WITHDRAWAL HDFC BANK,-1838.0,240781.0,34
2024-02-28,UPI DR ZOMATO FOOD ORDER,-1832.0,238949.0,35
2024-03-01,NEFT CR EMPLOYER SALARY MONIL TECH SOLUTIONS,85000.0,323949.0,36
2024-03-04,ATM WITHDRAWAL HDFC BANK,-7980.0,315969.0,37
2024-03-05,NACH DR HDFC HOMELOAN EMI A/C 00112233,-22000.0,293969.0,38
2024-03-09,UPI DR SWIGGY ORDER,-7094.0,286875.0,39
2024-03-10,UPI DR PHONEPE TRANSFER,-2520.0,284355.0,40
2024-03-12,UPI DR PAYTM MERCHANT,-2693.0,281662.0,41
2024-03-15,UPI CR CLIENT PAYMENT INV068CD6,23845.0,305507.0,42
2024-03-20,UPI DR PAYTM MERCHANT,-7854.0,297653.0,43
2024-03-20,UPI DR ZOMATO FOOD ORDER,-2241.0,295412.0,44
2024-03-20,UPI CR CLIENT PAYMENT INVC03338,22196.0,317608.0,45
2024-03-20,UPI DR PAYTM MERCHANT,-3465.0,314143.0,46
2024-03-22,DEBIT CARD PURCHASE PETROL,-3741.0,310402.0,47
2024-03-22,DEBIT CARD PURCHASE PETROL,-1670.0,308732.0,48
2024-03-23,UPI CR CLIENT PAYMENT INVD91389,37549.0,346281.0,49
2024-03-24,UPI CR CLIENT PAYMENT INVF110A5,25626.0,371907.0,50
2024-03-25,UTILITY BILL PAYMENT MSEDCL,-6619.0,365288.0,51
2024-04-01,NEFT CR EMPLOYER SALARY MONIL TECH SOLUTIONS,85000.0,450288.0,52
2024-04-04,UPI DR PAYTM MERCHANT,-3626.0,446662.0,53
2024-04-04,UPI CR CLIENT PAYMENT INVAAF291,43216.0,489878.0,54
2024-04-05,NACH DR HDFC HOMELOAN EMI A/C 00112233,-22000.0,467878.0,55
2024-04-06,UPI DR PHONEPE TRANSFER,-6988.0,460890.0,56
2024-04-06,CHQ RETURN INSUFFICIENT FUNDS CHQ NO 004512,0.0,460890.0,57
2024-04-07,UPI CR CLIENT PAYMENT INVD0978C,31696.0,492586.0,58
2024-04-08,NACH RETURN NACH DR RETURN INSUFFICIENT BALANCE,0.0,492586.0,59
2024-04-10,UPI DR SWIGGY ORDER,-6072.0,486514.0,60
2024-04-11,UPI DR PAYTM MERCHANT,-1795.0,484719.0,61
2024-04-16,UPI DR SWIGGY ORDER,-6415.0,478304.0,62
2024-04-18,UPI CR CLIENT PAYMENT INV6F6440,17978.0,496282.0,63
2024-04-19,UTILITY BILL PAYMENT MSEDCL,-6796.0,489486.0,64
2024-04-21,DEBIT CARD PURCHASE PETROL,-4834.0,484652.0,65
2024-04-22,UPI DR ZOMATO FOOD ORDER,-1413.0,483239.0,66
2024-04-23,UPI DR PAYTM MERCHANT,-5385.0,477854.0,67
2024-04-25,POS DR DMART HYPERMARKET,-6084.0,471770.0,68
2024-05-01,NEFT CR EMPLOYER SALARY MONIL TECH SOLUTIONS,85000.0,556770.0,69
2024-05-03,ATM WITHDRAWAL HDFC BANK,-7692.0,549078.0,70
2024-05-04,UPI DR PHONEPE TRANSFER,-1551.0,547527.0,71
2024-05-05,UPI DR ZOMATO FOOD ORDER,-7698.0,539829.0,72
2024-05-05,NACH DR HDFC HOMELOAN EMI A/C 00112233,-22000.0,517829.0,73
2024-05-06,UPI CR CLIENT PAYMENT INVE1AA39,43525.0,561354.0,74
2024-05-07,UTILITY BILL PAYMENT MSEDCL,-4822.0,556532.0,75
2024-05-08,UPI CR CLIENT PAYMENT INV56B71B,31635.0,588167.0,76
2024-05-09,NEFT DR ACCT9988776655 FUND TRANSFER,-50000.0,538167.0,77
2024-05-11,UPI DR PAYTM MERCHANT,-6002.0,532165.0,78
2024-05-11,NEFT CR ACCT9988776655 RETURN TRANSFER,50000.0,582165.0,79
2024-05-12,DEBIT CARD PURCHASE PETROL,-659.0,581506.0,80
2024-05-13,UPI DR PHONEPE TRANSFER,-4918.0,576588.0,81
2024-05-13,NEFT DR ACCT9988776655 FUND TRANSFER,-50000.0,526588.0,82
2024-05-18,ATM WITHDRAWAL HDFC BANK,-1752.0,524836.0,83
2024-05-19,ATM WITHDRAWAL HDFC BANK,-6340.0,518496.0,84
2024-05-19,UPI CR CLIENT PAYMENT INVEEB0E1,39967.0,558463.0,85
2024-05-20,POS DR DMART HYPERMARKET,-1201.0,557262.0,86
2024-05-23,UPI CR CLIENT PAYMENT INVAAC1C3,24779.0,582041.0,87
2024-05-23,DEBIT CARD PURCHASE PETROL,-5003.0,577038.0,88
2024-05-25,DEBIT CARD PURCHASE PETROL,-7184.0,569854.0,89
2024-05-26,UPI DR SWIGGY ORDER,-5406.0,564448.0,90
2024-05-28,UTILITY BILL PAYMENT MSEDCL,-2461.0,561987.0,91
2024-05-29,UPI DR PAYTM MERCHANT,-2235.0,559752.0,92
2024-06-01,NEFT CR EMPLOYER SALARY MONIL TECH SOLUTIONS,85000.0,644752.0,93
2024-06-02,ATM WITHDRAWAL HDFC BANK,-5320.0,639432.0,94
2024-06-04,UPI DR SWIGGY ORDER,-7542.0,631890.0,95
2024-06-05,NACH DR HDFC HOMELOAN EMI A/C 00112233,-22000.0,609890.0,96
2024-06-05,UPI DR PAYTM MERCHANT,-3402.0,606488.0,97
2024-06-06,UPI CR CLIENT PAYMENT INV7829AD,23123.0,629611.0,98
2024-06-06,DEBIT CARD PURCHASE PETROL,-2490.0,627121.0,99
2024-06-09,UPI DR SWIGGY ORDER,-1081.0,626040.0,100
2024-06-09,UTILITY BILL PAYMENT MSEDCL,-5980.0,620060.0,101
2024-06-10,UPI CR CLIENT PAYMENT INV5CAFFD,17098.0,637158.0,102
2024-06-12,POS DR DMART HYPERMARKET,-4711.0,632447.0,103
2024-06-15,ATM WITHDRAWAL HDFC BANK,-1272.0,631175.0,104
2024-06-15,UPI DR PAYTM MERCHANT,-4325.0,626850.0,105
2024-06-17,UPI CR CLIENT PAYMENT INV66D672,44478.0,671328.0,106
2024-06-17,ATM WITHDRAWAL HDFC BANK,-4917.0,666411.0,107
2024-06-19,UPI CR CLIENT PAYMENT INV23D3C6,29794.0,696205.0,108
2024-06-24,UPI DR SWIGGY ORDER,-2375.0,693830.0,109
2024-06-27,DEBIT CARD PURCHASE PETROL,-7115.0,686715.0,110
